term,frequency,example_headline_1,example_headline_2,in_vader_lexicon,selected_for_custom_lexicon
futures,840,"US STOCKS-S&P, Dow futures retreat as coronavirus cases spike","S&P Futures Climb Ahead of Key U.S. Inflation Data, Intel Surges on Upbeat Earnings",False,False
off,836,Myovant Squares Off with AbbVie On Endometriosis Treatment,Drugmakers kick off 2021 with 500 U.S. price hikes,False,False
mobil,835,"Zacks Investment Ideas feature highlights: Coca-Cola Company, AbbVie and Exxon Mobil","The Zacks Analyst Blog Highlights AbbVie, Exxon Mobil, Kontoor Brands, Select Water Solutions and Macatawa Bank",False,False
conference,834,2020 J.P. Morgan Healthcare Conference Roundup,From JP Morgan Healthcare Conference: AbbVie CEO Sees Humira Continuing To Grow In US Through The Time It Loses Market Exclusivity,False,False
petroleum,823,"BUZZ-U.S. STOCKS ON THE MOVE-DuPont, Occidental Petroleum, Safe-T Group","BUZZ-U.S. STOCKS ON THE MOVE-Whiting Petroleum, Medigus, Pluristem Therapeutics",False,False
back,805,Market Breaks Above 200-DMA - Is The Bull Back?,"US STOCKS-Microsoft brings S&P 500, Nasdaq back into record territory",False,False
yield,801,5 Total Yield Dividend Stocks That Offer Attractive Returns,"UPDATE: Morgan Stanley On Abbvie Notes 'This is an earnings and multiple call, and we see a positive risk-reward skew given ABBV's 5.6% dividend yield'",False,True
raises,797,"Mizuho Maintains Buy on AbbVie, Raises Price Target to $104","Cowen & Co. Maintains Outperform on AbbVie, Raises Price Target to $105",False,True
available,795,March 13th Options Now Available For AbbVie (ABBV),April 9th Options Now Available For AbbVie (ABBV),False,False
power,789,Abbott raises annual profit view as COVID-19 tests power growth,"Pearl River Capital, LLC Buys American Electric Power Co Inc, Goldman Sachs Group Inc, ...",False,False
key,788,5 Key Things Investors Should Look Forward to With AbbVie in 2020,AbbVie Announces RINVOQ Met Primary And Key Secondary Endpoints In Phase 3 Study In Psoriatic Arthritis,False,False
mmm,788,"Noteworthy Friday Option Activity: MMM, CI, ABBV","Notable Wednesday Option Activity: ADBE, MMM, ALGN",False,False
streaming,784,Logitech (LOGI) Introduces Litra Glow Premium Streaming Light,"Forget Netflix: These 2 ""Streaming"" Stocks Pay Dividends Set to Soar",False,False
bear,782,3 Dividend Stocks Ideal for Retirees With Money To Invest In The Bear Market,"Agilysys, Manpower, Eli Lilly and Company, Innoviva and AbbVie highlighted as Zacks Bull and Bear of the Day",False,False
see,780,Analysts See 15% Gains Ahead For EQWL,"UPDATE: Morgan Stanley On Abbvie Notes 'This is an earnings and multiple call, and we see a positive risk-reward skew given ABBV's 5.6% dividend yield'",False,False
yields,779,3 Coronavirus Stocks With the Highest Dividend Yields,3 Top Dividend Stocks With Yields Over 5%,False,True
